Actual Stress,Predicted Stress,Actual Strain,Predicted Strain
0.0197680223555792,0.0222317359396079,1.9058752513956306e-05,3.168517605445229e-05
0.0334723157778619,0.0330857412585719,3.45439889315458e-05,7.143855812804186e-05
0.3053741086096985,0.2889038078368651,6.8492390710162e-05,0.0001459185750718
0.6684014721522253,0.6433082951439747,0.000106609895738,0.000288263636321
0.9487335644071064,0.954971805451408,0.0001381759557261,0.0004288219133741
1.213204671466162,1.2120434216090603,0.0001685508323134,0.0005437700383481
1.4778704870314827,1.464457455135527,0.0001989257361856,0.0006849239434814
1.705943213568794,1.718818384503556,0.0002251315163448,0.0007980852387845
1.9405624223133813,1.9138932228088412,0.0002543152186262,0.0008826584962662
2.19684725716,2.205384156060604,0.0002834989390976,0.001026790268952
2.425367113143683,2.394216401236397,0.0003103003109572,0.0011113635264337
2.666012635306714,2.668675732991048,0.0003406752148293,0.0012507305655162
2.909977473909889,2.933088938395175,0.0003692633254104,0.0013644875434692
3.124084737565778,3.106973275357304,0.0003960646790801,0.0003928326448658
3.376130073789571,3.3709687277259226,0.0004258440094417,0.0004224134102211
3.5965768117753334,3.597120254758809,0.000453240936622,0.0016473908908665
3.8467944614470952,3.8734876571115526,0.0004800423266715,0.0004762504414732
4.085779190063476,4.127315682461617,0.0005104171941638,0.000506422809849
4.336259857056636,4.390358615733284,0.0005378141577239,0.0005342287300057
4.561895037454271,4.62965588267504,0.0005652111212839,0.0005608514441216
4.823545047215047,4.893707907045596,0.000595586025156,0.0005910238124973
5.03473887367854,5.139876658642452,0.0006223873788258,0.0006182381296336
5.268116981264143,5.387813525011583,0.0006503799522761,0.0006466356528108
5.528362592061365,5.66398576519962,0.0006807548197684,0.000676808093461
5.761024308583096,5.66398576519962,0.0007075561734382,0.000676808093461
5.992869346860858,5.920643157724314,0.0007355487468885,0.0007028391322819
6.250646757701079,6.143535694722552,0.0007659236143808,0.0007300534494182
6.483949933733253,6.419651938217149,0.0007927249680506,0.0007602258177939
6.729261458866175,6.660591902679433,0.0008219086885219,0.0007868484957725
6.970478996397953,6.9264319858500585,0.0008510924089932,0.0008152460912242
7.196468020242366,7.193334472040031,0.0008772982255322,0.0008454184595999
7.448979029579762,7.432406601591047,0.000906481873244,0.0008714495706954
7.683944702148446,7.69265038626535,0.0009350700565846,0.0033465976594016
7.915002580672968,7.949068914998874,0.000961275800364,0.0009288362562074
8.16812893700978,8.170103205560737,0.0009910551307257,0.0009548672950283
8.418693239726716,8.422441948988737,0.0010196432413067,0.0009844480965208
8.64339556012835,8.6947116798909,0.0010464445949764,0.001012845619698
8.887035127670048,8.914867666151558,0.0010762239253381,0.0010394682976766
9.131496671646364,9.17851007087422,0.0011042164260288,0.0010690490991692
9.346347384982636,9.426636789046457,0.0011316133895888,0.0010968549831886
9.621255359952414,9.65929384534778,0.0011625838669715,0.0011234777334417
9.854259188213048,9.92450185625274,0.0011899808305315,0.0011542417409752
10.070919612097368,10.177157402891568,0.0012173777940915,0.0011814560581115
10.32611983163016,10.399243357380875,0.0012483482714742,0.0012086703029732
10.565962110246938,10.65919534988255,0.0012745540880132,0.0012394343105067
10.794200594463048,10.65919534988255,0.0013019509788136,0.0012394343105067
11.057573651510571,11.1421231073446,0.0013323259190656,0.0012938629447792
11.294655572800414,11.39604970221668,0.0013591273454949,0.0013240353854295
11.523962020874016,11.646107155695546,0.0013883109204471,0.0013506579911336
11.772118674384222,11.906137390152422,0.0014180902508087,0.0013784640197021
11.990862044077064,12.150706400596322,0.0014437004574574,0.0014074531820369
12.220879963466096,12.150706400596322,0.0014722885680384,0.0014074531820369
12.480476167466906,12.635819563258478,0.0015014722885098,0.0014618816717605
12.695485069638208,12.635819563258478,0.0015276781050488,0.0014618816717605
12.94076253497411,12.884055206505613,0.0015574574354104,0.001491462473253
13.177370646643254,13.35697259616803,0.0015866411558818,0.0015464827466833
13.40153709290519,13.35697259616803,0.0016134424367919,0.0015464827466833
13.639500027611144,13.601262390222738,0.0016444129869341,0.0015754719090182
13.888957008482922,13.862489266347604,0.0016724054876249,0.00160268615388
14.095527406722775,14.112927957588653,0.0016986113041639,0.0016328585945302
14.347430637904573,14.372474932910372,0.0017289862444158,0.0016612561177074
14.58941262865824,14.595949298565785,0.0017563831352163,0.0016878788679605
14.817496708461224,14.851150009983076,0.0017831845616456,0.0017180511640617
15.059695168147018,15.098317880664917,0.0018135593563783,0.0017452655534725
15.28664392138284,15.328237235611702,0.0018409563926979,0.0017718883037256
15.518006824311763,15.5800259841192,0.0018683532834984,0.0018020605998268
15.7761119660877,15.814110572564218,0.0018987282237503,0.0018292749892377
16.008119734506828,16.04628667096437,0.0019255295046605,0.0018564892340994
16.22960075499524,16.303652076475963,0.0019529265409801,0.001886070035592
16.493187253437306,16.52950438390758,0.001983301481232,0.0019126926412961
16.7072568620954,17.00074340692279,0.0020101027621422,0.0019700794713571
16.947233109247144,17.00074340692279,0.0020386908727232,0.0019700794713571
17.221031491718573,17.229814373610104,0.0020684702030848,0.0019961104379035
17.437604873899367,17.472203348399848,0.0020958672394044,0.0020245079610807
17.68164559016159,17.733328970229785,0.0021256464242469,0.0020546804017309
17.904873499794604,17.733328970229785,0.0021542345348279,0.0020546804017309
18.134170108371272,18.22175821105259,0.002180440351367,0.0021108838089276
18.382880801246355,18.477400759393564,0.0022096240718383,0.0021404646104201
18.621915484231582,18.690831005817625,0.0022382121824193,0.0021664957215155
18.85335407559841,18.916430177511632,0.0022650136088486,0.0021954848838504
19.104768359471908,19.39165954024288,0.0022953885491006,0.002249913518123
