Actual Values,KNN Predicted Values
0.0197680223555792,0.021450196841733302
0.0334723157778619,0.048902493257519504
0.3053741086096985,0.4481984926756538
0.6684014721522253,0.5012897345209737
0.9487335644071064,1.1653640868144761
1.213204671466162,1.6881990586177587
1.4778704870314827,1.9296578011998522
1.705943213568794,2.188944792795538
1.9405624223133813,2.231826975152083
2.19684725716,2.094324147780962
2.425367113143683,3.281792740278367
2.666012635306714,3.140383496128203
2.909977473909889,3.3747943941813605
3.124084737565778,3.248280625415581
3.376130073789571,3.3524053986873024
3.5965768117753334,3.979958805315196
3.8467944614470952,4.606547138409439
4.085779190063476,4.536106043436362
4.336259857056636,4.642623561493791
4.561895037454271,4.93329438317468
4.823545047215047,5.219341424992803
5.03473887367854,5.605621802702172
5.268116981264143,6.371573452412283
5.528362592061365,5.2475135372112485
5.761024308583096,7.2453294985740735
5.992869346860858,5.878936193165103
6.250646757701079,7.66424023446378
6.483949933733253,7.937553791557454
6.729261458866175,8.17652142065653
6.970478996397953,8.458249241433943
7.196468020242366,6.615238300940847
7.448979029579762,8.308287690776325
7.683944702148446,9.464411039011996
7.915002580672968,9.560410034280505
8.16812893700978,8.803666764591732
8.418693239726716,10.172385796228264
8.64339556012835,9.110694178257058
8.887035127670048,10.956625093199376
9.131496671646364,10.005153458559555
9.346347384982636,11.016884147507826
9.621255359952414,10.72215602165953
9.854259188213048,11.950548091343768
10.070919612097368,11.7928346777203
10.32611983163016,10.870263363730624
10.565962110246938,12.480959088991439
10.794200594463048,12.562116786852538
11.057573651510571,13.035132698270813
11.294655572800414,13.487024748889587
11.523962020874016,11.107962968036828
11.772118674384222,13.731531227925869
11.990862044077064,12.655116220967875
12.220879963466096,13.477063995565715
12.480476167466906,13.940996964101364
12.695485069638208,14.167509373778524
12.94076253497411,16.66222953463053
13.177370646643254,13.955349352477766
13.40153709290519,14.086810940912475
13.639500027611144,15.665829189053888
13.888957008482922,14.407164035792388
14.095527406722775,17.174892490343773
14.347430637904573,17.46020745538614
14.58941262865824,17.35804841936218
14.817496708461224,16.989223529402036
15.059695168147018,18.16318738806568
15.28664392138284,17.865898780113955
15.518006824311763,17.53202038508079
15.7761119660877,17.804308726666445
16.008119734506828,19.358295474369456
16.22960075499524,19.45844657669254
16.493187253437306,20.49977760641758
16.7072568620954,20.205524017817112
16.947233109247144,20.418871883514743
17.221031491718573,19.48071129506911
17.437604873899367,20.668060310388473
17.68164559016159,20.399717963908728
17.904873499794604,21.23836839883171
18.134170108371272,21.584014309794597
18.382880801246355,21.713795269252973
18.621915484231582,21.266092415072027
18.85335407559841,23.266601759314415
19.104768359471908,22.107590630478814
19.347958337693026,22.60347928528553
19.5543485974508,22.954227735209493
19.799056885734448,21.905993189130132
20.0400685507154,23.717372370631736
20.231825207906983,24.48108964158396
20.49700116354317,24.061648805132954
20.712835826570952,24.64068168403762
20.94152238633905,23.71964360492492
21.198831285749204,26.27480489672709
21.41741798037572,25.44446016200177
21.645383986215712,25.491240442629664
21.91615028986857,25.6403715117043
22.10748914688349,26.556929434947936
22.34642392113096,25.275413972219578
22.589397430420004,26.078213077275215
22.808972616044286,26.417515997594137
23.05162520635699,26.344125021494225
23.30300618731794,26.380245914081417
