Actual Values,BPNN Predicted Values
0.0197680223555792,-1.1773553140286417
0.0334723157778619,-1.1478783576473912
0.3053741086096985,-0.8372053343677477
0.6684014721522253,-0.430622865084497
0.9487335644071064,-0.11533312322506362
1.213204671466162,0.18209872793934245
1.4778704870314827,0.4791267969735422
1.705943213568794,0.7346420097012025
1.9405624223133813,0.9993836693531151
2.19684725716,1.28522043270973
2.425367113143683,1.540462064215717
2.666012635306714,1.8111027720091277
2.909977473909889,2.082650676807087
3.124084737565778,2.3224314021228905
3.376130073789571,2.602333047956483
3.5965768117753334,2.848217471353724
3.8467944614470952,3.1221515456123465
4.085779190063476,3.3885967329178617
4.336259857056636,3.6624859043795635
4.561895037454271,3.9118241267438107
4.823545047215047,4.1989303426165705
5.03473887367854,4.432879778135297
5.268116981264143,4.6892054715242875
5.528362592061365,4.973627286972825
5.761024308583096,5.227084911196237
5.992869346860858,5.480740779445862
6.250646757701079,5.761468359880746
6.483949933733253,6.014343833731856
6.729261458866175,6.280987548986895
6.970478996397953,6.543347751648411
7.196468020242366,6.787459818656612
7.448979029579762,7.059690498020645
7.683944702148446,7.314303699760238
7.915002580672968,7.562069888714189
8.16812893700978,7.834352953457791
8.418693239726716,8.102397778127546
8.64339556012835,8.343808843283675
8.887035127670048,8.606052732816787
9.131496671646364,8.866526746567597
9.346347384982636,9.098487838483166
9.621255359952414,9.389933998263277
9.854259188213048,9.637949043171616
10.070919612097368,9.870578498526099
10.32611983163016,10.142627750740564
10.565962110246938,10.39439894918152
10.794200594463048,10.6366287447189
11.057573651510571,10.91421754451037
11.294655572800414,11.163047151665687
11.523962020874016,11.40736336266457
11.772118674384222,11.669176640947626
11.990862044077064,11.898846542205987
12.220879963466096,12.142055544262828
12.480476167466906,12.41235260464271
12.695485069638208,12.638395109374088
12.94076253497411,12.89575656509629
13.177370646643254,13.14421873298076
13.40153709290519,13.378245053333846
13.639500027611144,13.629415511447664
13.888957008482922,13.886843508000453
14.095527406722775,14.103426636568152
14.347430637904573,14.365233207939873
14.58941262865824,14.614166154220971
14.817496708461224,14.849663237822313
15.059695168147018,15.101724649959873
15.28664392138284,15.336275174802832
15.518006824311763,15.574404543999862
15.7761119660877,15.839435874676745
16.008119734506828,16.076703885183893
16.22960075499524,16.30511732993228
16.493187253437306,16.57383493560376
16.7072568620954,16.794371033212485
16.947233109247144,17.039487824527477
17.221031491718573,17.315265498454497
17.437604873899367,17.53778751442479
17.68164559016159,17.78686573644263
17.904873499794604,18.016039686519434
18.134170108371272,18.2473019843036
18.382880801246355,18.498733290043866
18.621915484231582,18.740714450171062
18.85335407559841,18.973640247246976
19.104768359471908,19.227872078195094
19.347958337693026,19.471782163367326
19.5543485974508,19.682949666366937
19.799056885734448,19.930478029158483
20.0400685507154,20.170210094803352
20.231825207906983,20.367345607826415
20.49700116354317,20.63160557295519
20.712835826570952,20.849660315208286
20.94152238633905,21.078500377933846
21.198831285749204,21.33515604047651
21.41741798037572,21.55486322055701
21.645383986215712,21.783080042201238
21.91615028986857,22.050425360260242
22.10748914688349,22.24411551860998
22.34642392113096,22.48172992454368
22.589397430420004,22.724684702126567
22.808972616044286,22.94257190395197
23.05162520635699,23.184128300438545
23.30300618731794,23.432884743340093
23.51344577849857,23.641771574779614
23.76769535125254,23.892575252437428
24.01034037272144,24.131237519640376
24.21696526663651,24.337141819582904
24.454885815817143,24.574315798150895
24.705385783362065,24.8191416524906
24.920272827148413,25.032333952875188
25.18221537272144,25.289339805154714
25.40081569126667,25.50612433084267
25.62307024758952,25.725882932948622
25.89184291779048,25.988944799877636
26.11051892477365,26.204770744127156
26.34488968622112,26.43512526412147
26.584743318103648,26.673527109792246
26.803831070188576,26.88874493171306
27.02921004522413,27.11200388250498
27.2964477539062,27.371763037567824
27.513134668743813,27.58547484931817
27.736179412357465,27.806596275703882
27.99663846454921,28.059761991445942
28.19213867187508,28.254869525740542
28.42069353376111,28.48120594528936
28.658212934221588,28.715030117787634
28.870631021166663,28.924250107948517
29.10175928993825,29.15268273871129
29.3597932845827,29.402923680741555
29.57934122236952,29.619507567801143
29.839757889036186,29.874578818040582
30.074092320033497,30.103537634470285
30.293125576443177,30.319710372854658
30.553657289535245,30.574906890034367
30.76170058477492,30.781215164026538
30.990052601647783,31.0045170776384
31.2288344852508,31.240904741949397
31.46742563399064,31.472814736941782
31.694415258982858,31.696526878263573
31.947568863157304,31.944307240777366
32.1577980404808,32.151930199670595
32.376131935725084,32.36930003654649
32.629533797975554,32.61744632560105
32.85275413876492,32.836793882864
33.08594416058254,33.06673123011429
33.33614894321985,33.31239881889478
33.55628422328397,33.52935678986324
33.802940731956824,33.77296259551164
34.05305166093127,34.01726163225957
34.26401955740794,34.226800345302884
34.508254036070795,34.46787639378037
34.72919464111334,34.68662274419085
34.95082552470857,34.906021115852504
35.206171066041904,35.157353333946375
35.42582496764175,35.37527656200811
35.65211220393111,35.5987886511708
35.90923793732175,35.85186781383299
36.12865266345794,36.06906560263608
36.33020189073349,36.27232246712
36.58877175951763,36.526092107029335
36.811295766679045,36.74612136634261
37.02528514559302,36.96076372109096
37.279147193545406,37.21171112645423
37.4962216331846,37.42749581821542
37.748878721206985,37.67683139448405
37.99231695750397,37.918646260758656
38.21158333430222,38.13486994584064
38.44936310298857,38.37137903784872
38.68867177811874,38.60841920837517
38.90044499957365,38.82036053670066
39.14124625069762,39.060482718743025
