Actual Values,RFR Predicted Values
0.0197680223555792,0.023020685583833852
0.0334723157778619,0.06007751642321833
0.3053741086096985,0.31634682696123395
0.6684014721522253,0.6327159450695632
0.9487335644071064,1.02379704820016
1.213204671466162,1.2541256516780999
1.4778704870314827,1.6874026087876888
1.705943213568794,1.6012390607582152
1.9405624223133813,2.0011170014280633
2.19684725716,2.207245323067122
2.425367113143683,2.5988701580930775
2.666012635306714,3.041075316876427
2.909977473909889,3.255792414159741
3.124084737565778,3.127184456688897
3.376130073789571,3.30788798178401
3.5965768117753334,3.8710195968055396
3.8467944614470952,4.001039498553245
4.085779190063476,4.287312039371229
4.336259857056636,4.552874432693219
4.561895037454271,4.896708525378853
4.823545047215047,5.196650214267362
5.03473887367854,5.404906917766574
5.268116981264143,5.621420105307615
5.528362592061365,5.890672402559866
5.761024308583096,6.125192450171134
5.992869346860858,6.356260521175078
6.250646757701079,6.6040581276466055
6.483949933733253,6.85939319056825
6.729261458866175,7.19856661622841
6.970478996397953,7.4333320864356836
7.196468020242366,7.64163007487854
7.448979029579762,8.383955792504107
7.683944702148446,8.268761247673257
7.915002580672968,8.207218357550579
8.16812893700978,8.602502035916496
8.418693239726716,8.848866317007856
8.64339556012835,9.181968483067177
8.887035127670048,9.348340735798889
9.131496671646364,9.665425541267375
9.346347384982636,9.984894704759853
9.621255359952414,10.182686583893185
9.854259188213048,10.43884943821869
10.070919612097368,10.701163870539
10.32611983163016,11.128282334569096
10.565962110246938,11.661120305588689
10.794200594463048,11.88460595895423
11.057573651510571,11.770681436787525
11.294655572800414,11.857363254129211
11.523962020874016,12.164531659677804
11.772118674384222,12.352081808520127
11.990862044077064,12.467126025179848
12.220879963466096,12.824889061306768
12.480476167466906,13.031124961621597
12.695485069638208,13.493772704736223
12.94076253497411,13.928688047796292
13.177370646643254,14.420323256044385
13.40153709290519,14.278266572334651
13.639500027611144,14.442444808541486
13.888957008482922,14.459919363718724
14.095527406722775,14.583044859061774
14.347430637904573,14.891757346341164
14.58941262865824,15.18480013309962
14.817496708461224,15.358357327270703
15.059695168147018,15.697020552427245
15.28664392138284,15.928228073984089
15.518006824311763,16.269140017778557
15.7761119660877,16.79767266321457
16.008119734506828,16.877041399107497
16.22960075499524,17.279307583942487
16.493187253437306,17.33933091009314
16.7072568620954,17.37444202947973
16.947233109247144,18.008832456615284
17.221031491718573,18.213596321191115
17.437604873899367,18.724549363144753
17.68164559016159,18.89449947689685
17.904873499794604,19.131812784458436
18.134170108371272,19.19739407389716
18.382880801246355,19.353635104062246
18.621915484231582,19.817304616903623
18.85335407559841,19.783948465868292
19.104768359471908,19.90681054978031
19.347958337693026,19.98604522729563
19.5543485974508,20.2136434429752
19.799056885734448,20.6549988159909
20.0400685507154,20.842944318034814
20.231825207906983,21.10932356076523
20.49700116354317,21.707395531792688
20.712835826570952,22.025482771891912
20.94152238633905,24.318469055764
21.198831285749204,25.20460153190366
21.41741798037572,22.592037624780577
21.645383986215712,22.53998488259041
21.91615028986857,22.739434435002153
22.10748914688349,22.80262312245443
22.34642392113096,23.065726676766598
22.589397430420004,23.49874548429603
22.808972616044286,23.475172196650142
23.05162520635699,23.846537262989347
23.30300618731794,24.173729226971307
23.51344577849857,24.707732025416277
23.76769535125254,24.939147281097256
24.01034037272144,24.966825621708868
24.21696526663651,25.1477235167244
24.454885815817143,25.51911550528347
24.705385783362065,25.648260835278585
24.920272827148413,25.841469722600767
25.18221537272144,26.17434757878718
